CustomerID,last_purchase_date,first_purchase_date,total_transactions,total_quantity,country,total_spend,days_since_last_purchase,Churn
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,74215,United Kingdom,77183.6,325,1
12347.0,2011-12-07 15:52:00,2010-12-07 14:57:00,7,2458,Iceland,4310.0,1,0
12348.0,2011-09-25 13:13:00,2010-12-16 19:09:00,4,2341,Finland,1797.24,74,0
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,1,631,Italy,1757.55,18,0
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,197,Norway,334.4,309,1
12352.0,2011-11-03 14:37:00,2011-02-16 12:33:00,8,536,Norway,2506.04,35,0
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,20,Bahrain,89.0,203,1
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,Spain,1079.4,231,1
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,1,240,Bahrain,459.4,213,1
12356.0,2011-11-17 08:40:00,2011-01-18 09:50:00,3,1591,Portugal,2811.43,22,0
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,1,2708,Switzerland,6207.67,32,0
12358.0,2011-12-08 10:26:00,2011-07-12 10:04:00,2,248,Austria,1168.06,1,0
12359.0,2011-10-13 12:47:00,2011-01-12 12:43:00,4,1609,Cyprus,6310.03,57,0
12360.0,2011-10-18 15:22:00,2011-05-23 09:43:00,3,1165,Austria,2662.06,51,0
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,1,91,Belgium,189.9,286,1
12362.0,2011-12-06 15:40:00,2011-02-17 10:30:00,10,2229,Belgium,5226.23,2,0
12363.0,2011-08-22 10:18:00,2011-04-11 13:29:00,2,408,Unspecified,552.0,109,0
12364.0,2011-12-02 10:22:00,2011-08-19 15:24:00,4,1506,Belgium,1313.1,7,0
12365.0,2011-02-21 14:04:00,2011-02-21 13:51:00,2,174,Cyprus,641.38,290,1
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,173,Denmark,168.9,3,0
12370.0,2011-10-19 14:51:00,2010-12-14 12:58:00,4,2352,Cyprus,3541.94,50,0
12371.0,2011-10-26 10:16:00,2011-10-11 10:43:00,2,591,Switzerland,1887.96,44,0
12372.0,2011-09-29 12:12:00,2011-02-16 12:46:00,3,794,Denmark,1298.04,71,0
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,1,197,Austria,364.6,310,1
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,1,342,Austria,742.9300000000001,24,0
