total_transactions,total_quantity,country,total_spend,days_since_last_purchase,customer_lifetime_days
0.117196485,-0.19899867,-0.002112294,-0.012147848,7.5801353,0.30021206
-0.22908767,-0.17847985,0.00038731797,0.0014842901,-5.885635,-0.9828394
-0.2299862,-0.180361,0.0035314327,-0.00411999,-5.885635,-0.9775995
0.0926459,-0.31705725,0.008686075,0.00393728,-5.885635,0.29984137
0.09803102,0.08174227,0.0044612433,0.018032832,7.5801353,0.31962353
-0.24309106,-0.16307688,0.00038731797,0.0019573146,-5.885635,-0.98471195
0.09126778,0.2590601,0.0026386725,-0.054158024,7.5801353,0.32117784
0.1276598,-0.24621902,-0.008906891,-0.0072605256,7.5801353,0.30282447
0.07911366,0.005162612,0.009694397,0.011043321,7.5801353,0.31989577
-0.04978782,-0.16355793,-0.004557478,0.029989298,-5.885635,-0.9675827
0.117196485,-0.2761713,-0.002112294,-0.012147848,-5.885635,0.2925836
-0.00053066574,-0.06356992,0.0029836325,-0.017121263,-5.885635,-0.059471242
-0.22789498,-0.1949023,0.0035314327,0.0014842901,-5.885635,-0.9707537
-0.02307221,-0.28580865,0.0029836325,0.0473997,-5.885635,-0.060649496
0.08762572,0.2256545,-0.0040962296,-0.021654041,7.5801353,0.32106984
-0.22908767,-0.1800519,0.0035314327,0.0014842901,-5.885635,-0.9844114
-0.034616813,-0.15494272,-0.00025368907,-0.03783649,-5.885635,-0.07789632
-0.25898367,-0.34108466,0.0029836325,-0.0650225,-5.885635,0.095726885
0.010268589,0.10899793,0.013919229,-0.04478021,7.5801353,0.29972956
0.08755266,0.04291419,0.0016654558,-0.08616339,-5.885635,0.296682
-0.22996755,-0.1802125,0.0035314327,0.0014842901,-5.885635,-0.98337096
0.08465025,-0.28737715,-0.00039972086,0.112000674,-5.885635,0.1369845
-0.06634623,-0.19516367,0.0035314327,-0.014786794,-5.885635,-0.9584327
0.09803102,0.07599214,0.009694397,0.008553114,7.5801353,0.31711295
0.11790829,-0.045515027,0.01391923,-0.07048642,-5.885635,0.30177283
-0.02069059,0.08451994,0.002051149,-0.005669387,-5.885635,0.19240707
0.09038836,-0.29989797,-0.00039972086,0.074695185,7.5801353,0.13427973
0.117196485,-0.2761713,-0.002112294,-0.012147848,-5.885635,0.2925836
-0.019524988,-0.10166888,0.0029836325,0.03806543,-5.885635,0.19966397
-0.2325271,-0.29088056,0.0035314327,-0.01790284,-5.885635,-0.29654574
-0.25573424,-0.3193389,-0.0022495217,-0.028147545,-5.885635,0.07941354
-0.24295199,-0.2783112,0.0035314327,-0.01908081,7.5801353,-0.35208166
0.012541002,0.17075887,-0.00025368907,-0.0076937783,-5.885635,0.22515163
-0.02321953,-0.11821826,0.0020511495,-0.0018785624,7.5801353,0.12326061
-0.22836022,-0.1947417,0.0035314327,-0.0029420215,-5.885635,-0.9660228
0.11824504,-0.05441558,0.009694397,-0.017909307,-5.885635,0.31978983
0.10601563,-0.056272727,0.009694397,0.0018264205,-5.885635,0.31665987
-0.22684513,-0.20059693,0.0035314327,-0.0006088702,-5.885635,-0.9640158
0.039096788,-0.32586035,0.0029836325,-0.03810856,-5.885635,-0.058405694
-0.22908767,-0.19266912,0.0035314327,0.0014842901,-5.885635,-0.9717942
0.053015027,-0.31136537,0.0029836325,0.04157067,-5.885635,0.1540963
0.1216226,-0.2910096,-0.002112294,-0.015379947,-5.885635,0.3062279
-0.22334251,-0.33920366,0.0029836325,-0.025001466,-5.885635,-0.08806411
0.09126778,0.2590601,0.0026386725,-0.054158024,7.5801353,0.32117784
0.09266496,0.21548416,-0.0040962296,0.0077517163,7.5801353,0.32305825
0.09523825,0.17927192,0.0039327117,-0.021865994,-5.885635,0.31365559
0.0926459,-0.33864722,0.01391923,-0.0020121275,-5.885635,0.29894924
0.030400138,-0.27595425,0.0035314327,0.038124237,-5.885635,-0.29950655
-0.22791363,-0.1950508,0.0035314327,-0.00411999,-5.885635,-0.9649823
-0.2292401,-0.1949023,0.0035314327,-0.0029420215,-5.885635,-0.9649823
-0.014143001,-0.11710415,-0.00039972086,0.040956035,-5.885635,0.20225522
-0.0133627,0.012552612,-0.002112294,-0.10143719,7.5801353,0.29296234
-0.058642235,-0.34406465,0.0029836325,-0.060898095,-5.885635,0.1343643
-0.09682735,-0.033801794,0.0035314327,-0.03439614,-5.885635,-1.0180233
-0.11618081,-0.052256275,0.0020511495,0.00062074617,7.5801353,0.18690485
-0.22908767,-0.1452798,0.0035314327,0.0014842901,-5.885635,-1.0191836
-0.2270151,-0.1947417,0.0035314327,0.0014842901,-5.885635,-0.9717942
0.117421284,-0.07421963,-0.002112294,-0.080793485,-5.885635,0.30192232
0.11790829,-0.0425233,0.009694397,0.0050284937,-5.885635,0.32308173
-0.19959483,-0.14434151,-0.004557478,-0.031028831,-5.885635,-0.9563436
-0.11780943,-0.035636943,0.0035314327,-0.03849246,-5.885635,-1.0236624
-0.22703375,-0.1948902,0.0035314327,-0.00411999,-5.885635,-0.9660228
0.08832821,-0.25547567,0.01391923,0.06069445,-5.885635,0.31488663
0.1273458,-0.25908345,-0.008906891,-0.09570031,-5.885635,0.28232062
0.09860979,-0.07579389,0.0044612433,0.006615908,7.5801353,0.31215337
-0.08621997,-0.16207679,0.00038731797,-0.019076392,-5.885635,-0.9843127
-0.22908767,-0.1800519,0.0035314327,0.0014842901,-5.885635,-0.9844114
-0.22789498,-0.1949023,0.0035314327,0.0014842901,-5.885635,-0.9707537
0.08863232,0.18086971,-0.003567698,0.0040367898,-5.885635,0.32104388
-0.22908767,-0.1800519,0.0035314327,0.0014842901,-5.885635,-0.9844114
-0.24072057,-0.30195144,-0.0022495217,0.011760375,-5.885635,-0.07028638
-0.22908767,-0.14370775,0.00038731797,0.0014842901,-5.885635,-1.0176115
-0.021016132,-0.120418906,0.0035314327,-0.033428326,-5.885635,-0.46793124
0.031902432,-0.23763695,0.0035314327,0.043893963,-5.885635,-0.6504957
0.06725132,0.007985998,0.0044612433,0.010205684,-5.885635,0.3151765
-0.22908767,-0.1800519,0.0035314327,0.0014842901,-5.885635,-0.9844114
0.050418444,-0.299743,-0.0022495217,0.057098307,-5.885635,-0.06277451
0.08359309,0.181674,0.0016654558,-0.03472156,7.5801353,0.31885442
0.08755266,0.08197518,-0.0069878837,-0.056183927,-5.885635,0.30497634
-0.22896922,-0.2977636,-0.0022495217,0.011760375,-5.885635,-0.03301461
0.08769139,0.20349953,-0.033263963,-0.015535859,-5.885635,0.31619498
0.114914216,-0.02615844,-0.008906891,0.010462025,-5.885635,0.31627613
0.09799782,0.08995113,0.009694397,0.009848788,7.5801353,0.31370094
0.07492696,-0.053818773,-0.0082452595,1.3235607e-05,-5.885635,0.3059297
-0.24293336,-0.2781627,0.0035314327,-0.013476527,-5.885635,-0.3032837
0.009979055,0.18533894,-0.0067707645,-0.022948503,-5.885635,0.118296705
-0.22996755,-0.14593533,-0.0005096389,-0.0006493473,-5.885635,-1.0114734
-0.019372271,0.08984512,-0.0014506625,-0.019487761,-5.885635,0.31237173
0.13076669,-0.26311296,0.01391923,-0.090784475,-5.885635,0.28832117
0.10097524,-0.33992037,-0.008906891,-0.012348544,-5.885635,0.29192165
-0.2304328,-0.19266912,0.0035314327,-0.0029420215,-5.885635,-0.9660228
-0.050814882,-0.16562495,-0.0005096389,0.0321296,-5.885635,-0.9706768
-0.20347144,-0.26554835,-0.0005096389,-0.011024627,-5.885635,-0.38897458
0.013065591,-0.18004122,-0.0005096389,0.0026780944,-5.885635,-0.99618906
-0.015279105,-0.08937171,-0.00039972086,-0.0034793094,-5.885635,0.17398193
0.017140005,-0.17147103,-0.004557478,0.0028605326,-5.885635,-0.9848675
-0.21053796,-0.26540723,0.0035314327,-0.017344687,-5.885635,-0.63830334
